Date,Country,Home,Away,GD<-5,GD=-5,GD=-4,GD=-3,GD=-2,GD=-1,GD=0,GD=1,GD=2,GD=3,GD=4,GD=5,GD>5,R:0-0,R:0-1,R:1-0,R:0-2,R:1-1,R:2-0,R:0-3,R:1-2,R:2-1,R:3-0,R:0-4,R:1-3,R:2-2,R:3-1,R:4-0,R:0-5,R:1-4,R:2-3,R:3-2,R:4-1,R:5-0,R:0-6,R:1-5,R:2-4,R:3-3,R:4-2,R:5-1,R:6-0
2026-02-13,FRA,Laval,Annecy,0.0007,0.0032,0.0135,0.0437,0.0966,0.2154,0.3102,0.1965,0.0812,0.0269,0.0092,0.0026,0.0,0.1077,0.1086,0.104,0.0581,0.1395,0.0493,0.0324,0.0838,0.0719,0.0191,0.0107,0.0342,0.0536,0.0252,0.007,0.0029,0.0101,0.0208,0.019,0.0068,0.0022,0.0005,0.0023,0.0034,0.0079,0.0062,0.0022,0.0
2026-02-13,FRA,Amiens,Dunkerque,0.0028,0.0051,0.0207,0.0561,0.1132,0.2351,0.2776,0.1804,0.0727,0.0244,0.0098,0.002,0.0001,0.0874,0.112,0.0867,0.069,0.1233,0.0448,0.0381,0.0943,0.0737,0.017,0.0159,0.0385,0.0546,0.0222,0.0069,0.0043,0.0155,0.0255,0.0182,0.0061,0.0016,0.0023,0.0037,0.0046,0.012,0.0056,0.0024,0.0
2026-02-13,FRA,Clermont,Rodez,0.0003,0.0021,0.0091,0.0374,0.0974,0.1894,0.2932,0.2166,0.0962,0.0403,0.013,0.0045,0.0005,0.0914,0.0874,0.1038,0.0533,0.1301,0.0598,0.0256,0.0749,0.0824,0.0293,0.0069,0.0375,0.0598,0.032,0.0097,0.0009,0.0107,0.0227,0.0265,0.01,0.0029,0.0002,0.0021,0.0058,0.0113,0.0038,0.0024,0.0002
2026-02-13,FRA,Pau,Boulogne,0.0006,0.0012,0.0036,0.019,0.0703,0.1583,0.2707,0.2415,0.1348,0.0627,0.0259,0.0087,0.0026,0.0694,0.0627,0.1058,0.0382,0.1277,0.08,0.0136,0.0677,0.0959,0.0377,0.0024,0.026,0.0589,0.0455,0.0158,0.0008,0.0051,0.0241,0.0339,0.0202,0.0065,0.0004,0.0012,0.0058,0.0123,0.0075,0.008,0.0018
2026-02-13,GER,Nuernberg,Karlsruhe,0.0011,0.0022,0.0107,0.0381,0.0955,0.1868,0.2685,0.2132,0.1147,0.0447,0.0162,0.0077,0.0005,0.0625,0.0726,0.0813,0.0484,0.1179,0.0546,0.0259,0.0753,0.089,0.0285,0.0051,0.0353,0.0715,0.0463,0.0116,0.0018,0.0101,0.0331,0.0346,0.0145,0.0065,0.001,0.0054,0.0099,0.0153,0.0126,0.0031,0.0001
2026-02-13,GER,Dortmund,Mainz,0.0,0.0012,0.0033,0.0094,0.0363,0.0952,0.1963,0.2525,0.1951,0.1085,0.0611,0.0268,0.0142,0.0435,0.037,0.1013,0.0169,0.0874,0.1082,0.0052,0.0406,0.1096,0.0725,0.0025,0.0155,0.0533,0.0645,0.0415,0.0007,0.0029,0.0152,0.0349,0.0307,0.0186,0.0,0.0004,0.0035,0.0108,0.0202,0.0177,0.009
2026-02-13,GER,Duesseldorf,Muenster,0.0005,0.0013,0.0037,0.0181,0.073,0.1616,0.29,0.245,0.125,0.0546,0.0192,0.0061,0.0018,0.0876,0.0741,0.1227,0.0459,0.1406,0.0803,0.0131,0.0652,0.0929,0.0355,0.003,0.0234,0.0519,0.0388,0.013,0.001,0.0044,0.0197,0.0247,0.0155,0.0053,0.0004,0.0006,0.0035,0.0081,0.0044,0.0046,0.0015
2026-02-13,ITA,Pisa,Milan,0.0125,0.0274,0.0685,0.1247,0.199,0.2614,0.1858,0.0804,0.0302,0.0089,0.001,0.0001,0.0,0.054,0.123,0.0357,0.1204,0.0866,0.019,0.0791,0.1065,0.0325,0.0054,0.0488,0.0643,0.0365,0.0085,0.0008,0.0229,0.0352,0.0274,0.0106,0.0032,0.0001,0.0065,0.0172,0.013,0.0077,0.0027,0.0002,0.0
2026-02-13,NED,Volendam,PSV,0.0673,0.0709,0.1238,0.1777,0.2062,0.1931,0.1034,0.0428,0.0116,0.003,0.0002,0.0,0.0,0.0251,0.0804,0.0174,0.1107,0.0483,0.0063,0.1043,0.0798,0.0186,0.0019,0.0839,0.0741,0.023,0.0038,0.0001,0.0506,0.0594,0.0269,0.0061,0.001,0.0,0.0248,0.0325,0.0192,0.006,0.0014,0.0,0.0
2026-02-13,POL,Katowice,Legia,0.0004,0.0036,0.007,0.03,0.0764,0.1648,0.2851,0.2275,0.1252,0.0557,0.0168,0.0048,0.0025,0.0746,0.0707,0.0985,0.0404,0.1393,0.0692,0.0181,0.0696,0.0979,0.0374,0.0044,0.0293,0.0595,0.0469,0.0104,0.0032,0.0101,0.0219,0.0265,0.0155,0.0044,0.0002,0.0018,0.0061,0.0112,0.0077,0.0053,0.0019
